County,Year,all_irrigatedfarms_acres,with_harvestland_acres,with_othercropland_acres,with_pastureland_acres,all_irrigatedland_acres,irrigatedcrop_acre,irrigated_pasture_acre
Colorado,"1,982",17351278,3435646,1103227,11591831,3200942,2656328,544614
Adams,"1,982",195521,77146,62103,49258,33218,31529,1689
Alamosa,"1,982",212918,69945,8554,126827,96880,69515,27365
Arapahoe,"1,982",95832,15283,17460,61180,3883,3769,114
Archuleta,"1,982",95642,5080,707,77230,10837,4399,6438
Baca,"1,982",333830,126068,73591,131330,58702,57293,1409
Bent,"1,982",489766,60631,15894,408142,56932,54930,2002
Boulder,"1,982",119629,40021,5970,64713,44105,36801,7304
Broomfield,"1,982",,,,,,,
Chaffee,"1,982",107711,10536,206,91737,17035,10506,6529
Cheyenne,"1,982",255977,74039,64564,18614,56,3,0
Clear Creek,"1,982",3771,147,0,Withheld,Withheld,147,Withheld
Conejos,"1,982",305096,85170,10030,179159,120351,83839,36512
Costilla,"1,982",263384,32146,8436,205953,44255,31915,12340
Crowley,"1,982",178185,25139,20175,127782,24128,23512,616
Custer,"1,982",157837,13322,264,132524,17164,12096,5068
Delta,"1,982",232349,46653,4170,142338,66666,46143,20523
Denver,"1,982",Withheld,Withheld,Withheld,Withheld,89,89,0
Dolores,"1,982",42966,2459,662,38330,1253,433,820
Douglas,"1,982",89165,6971,2134,78049,5608,4706,902
Eagle,"1,982",197846,Withheld,39,167630,29751,18711,11040
Elbert,"1,982",239944,13623,8116,211647,6018,5599,419
El Paso,"1,982",188827,10952,5088,165970,11963,9817,2146
Fremont,"1,982",221413,8572,1185,200774,10308,7886,2422
Garfield,"1,982",442107,37160,4447,371866,50771,34797,15974
Gilpin,"1,982",Withheld,Withheld,0,Withheld,Withheld,Withheld,0
Grand,"1,982",262139,28501,602,196029,40600,28231,12369
Gunnison,"1,982",234713,Withheld,250,184331,52849,32732,20117
Hinsdale,"1,982",8281,960,0,6314,1695,880,815
Huerfano,"1,982",367838,10996,1079,331110,11236,10045,1191
Jackson,"1,982",387166,75527,Withheld,294649,104074,74622,29452
Jefferson,"1,982",24641,2657,998,19403,3036,1078,1958
Kiowa,"1,982",58036,13868,11456,32606,6309,Withheld,Withheld
Kit Carson,"1,982",741116,254329,161701,315703,119847,118643,1204
Lake,"1,982",8212,Withheld,0,6825,4770,1150,3620
La Plata,"1,982",538767,31514,8559,212339,58443,25305,33138
Larimer,"1,982",355497,86900,14529,223169,104534,78717,25817
Las Animas,"1,982",886151,15022,1368,816289,25144,14247,10897
Lincoln,"1,982",238967,21352,12804,203286,6245,5945,300
Logan,"1,982",420698,118680,35416,255708,94028,90403,3625
Mesa,"1,982",392430,58163,5923,291701,91859,56921,34938
Mineral,"1,982",7479,Withheld,Withheld,6127,887,252,635
Moffat,"1,982",739565,35745,21480,668988,22706,16587,6119
Montezuma,"1,982",736556,24935,4887,580745,35752,19432,16320
Montrose,"1,982",391711,67343,3671,277366,94419,66866,27553
Morgan,"1,982",430139,158574,35193,219893,146298,144055,2243
Otero,"1,982",214084,58685,6462,141956,61599,58257,3342
Ouray,"1,982",120494,8601,424,95266,12786,8432,4354
Park,"1,982",227427,15711,0,206837,18842,14964,3878
Phillips,"1,982",253484,142000,54735,52372,89246,88335,911
Pitkin,"1,982",40133,6080,0,31929,10788,6040,4748
Prowers,"1,982",398836,148659,78643,150767,110823,108581,2242
Pueblo,"1,982",215942,32307,6900,168335,31067,28337,2730
Rio Blanco,"1,982",297327,24104,9054,255245,26780,18036,8744
Rio Grande,"1,982",224770,91062,11795,90135,110718,88657,22061
Routt,"1,982",459889,44134,11655,371782,47330,32715,14615
Saguache,"1,982",451755,90326,25518,317434,128326,88601,39725
San Juan,"1,982",0,0,0,0,0,0,0
San Miguel,"1,982",133012,5296,2238,119881,13308,5292,8016
Sedgwick,"1,982",187757,74659,26384,77150,51770,50991,779
Summit,"1,982",33610,Withheld,Withheld,26415,6135,3670,2465
Teller,"1,982",36397,1024,0,17724,955,800,155
Washington,"1,982",385602,91980,48832,239079,46600,46191,409
Weld,"1,982",977413,445378,78256,406716,404869,388017,16852
