Date, Storage (af)
1-Oct-80, 22071500 
1-Nov-80, 21675700 
1-Dec-80, 21450400 
1-Jan-81, 21200700 
1-Feb-81, 20986400 
1-Mar-81, 20937300 
1-Apr-81, 20865400 
1-May-81, 20938700 
1-Jun-81, 21352000 
1-Jul-81, 20942900 
1-Aug-81, 20323300 
1-Sep-81, 20115700 
1-Oct-81, 20112800 
1-Nov-81, 19937300 
1-Dec-81, 19495600 
1-Jan-82, 18993200 
1-Feb-82, 18859900 
1-Mar-82, 19021200 
1-Apr-82, 19240200 
1-May-82, 20485200 
1-Jun-82, 21988100 
1-Jul-82, 22353200 
1-Aug-82, 22246000 
1-Sep-82, 22341000 
1-Oct-82, 22398400 
1-Nov-82, 22188600 
1-Dec-82, 21960800 
1-Jan-83, 21749700 
1-Feb-83, 21573800 
1-Mar-83, 21942800 
1-Apr-83, 22119200 
1-May-83, 23544100 
1-Jun-83, 25493000 
1-Jul-83, 25546300 
1-Aug-83, 25044400 
1-Sep-83, 24143000 
1-Oct-83, 23410600 
1-Nov-83, 22728100 
1-Dec-83, 22034900 
1-Jan-84, 21338500 
1-Feb-84, 20830400 
1-Mar-84, 20414700 
1-Apr-84, 20424500 
1-May-84, 22424600 
1-Jun-84, 24531700 
1-Jul-84, 24672800 
1-Aug-84, 24383100 
1-Sep-84, 23673800 
1-Oct-84, 23263200 
1-Nov-84, 22632600 
1-Dec-84, 21962500 
1-Jan-85, 21333500 
1-Feb-85, 20701000 
1-Mar-85, 20750900 
1-Apr-85, 21936900 
1-May-85, 23621400 
1-Jun-85, 24342300 
1-Jul-85, 23864600 
1-Aug-85, 22868100 
1-Sep-85, 22096600 
1-Oct-85, 22182100 
1-Nov-85, 22218200 
1-Dec-85, 22326700 
1-Jan-86, 22085900 
1-Feb-86, 21784600 
1-Mar-86, 21359000 
1-Apr-86, 21561400 
1-May-86, 22010800 
1-Jun-86, 23527900 
1-Jul-86, 24277200 
1-Aug-86, 23485400 
1-Sep-86, 22695600 
1-Oct-86, 22634400 
1-Nov-86, 22457800 
1-Dec-86, 21901500 
1-Jan-87, 21124100 
1-Feb-87, 20918900 
1-Mar-87, 21174700 
1-Apr-87, 21914600 
1-May-87, 23461400 
1-Jun-87, 24062200 
1-Jul-87, 23700300 
1-Aug-87, 23000800 
1-Sep-87, 22440500 
1-Oct-87, 22416200 
1-Nov-87, 22361700 
1-Dec-87, 22041100 
1-Jan-88, 21704800 
1-Feb-88, 21514500 
1-Mar-88, 21505600 
1-Apr-88, 21789100 
1-May-88, 22449200 
1-Jun-88, 23200000 
1-Jul-88, 22903000 
1-Aug-88, 22459700 
1-Sep-88, 22087100 
1-Oct-88, 21874951 
1-Nov-88, 21565597 
1-Dec-88, 21223122 
1-Jan-89, 20765699 
1-Feb-89, 20483744 
1-Mar-89, 20482326 
1-Apr-89, 20659984 
1-May-89, 20945190 
1-Jun-89, 20921271 
1-Jul-89, 20339619 
1-Aug-89, 19805292 
1-Sep-89, 19183233 
1-Oct-89, 18947699 
1-Nov-89, 18668673 
1-Dec-89, 18291767 
1-Jan-90, 17922869 
1-Feb-90, 17613525 
1-Mar-90, 17344273 
1-Apr-90, 17154802 
1-May-90, 17065576 
1-Jun-90, 17279285 
1-Jul-90, 16883207 
1-Aug-90, 16128570 
1-Sep-90, 15722660 
1-Oct-90, 15696996 
1-Nov-90, 15563466 
1-Dec-90, 15246237 
1-Jan-91, 14932500 
1-Feb-91, 14741149 
1-Mar-91, 14602391 
1-Apr-91, 14586921 
1-May-91, 15112027 
1-Jun-91, 15887665 
1-Jul-91, 15488352 
1-Aug-91, 14989915 
1-Sep-91, 14698880 
1-Oct-91, 14546049 
1-Nov-91, 14474481 
1-Dec-91, 14251493 
1-Jan-92, 13897188 
1-Feb-92, 13745243 
1-Mar-92, 13698705 
1-Apr-92, 13913188 
1-May-92, 14934751 
1-Jun-92, 15275925 
1-Jul-92, 14913406 
1-Aug-92, 14427250 
1-Sep-92, 14084829 
1-Oct-92, 13891849 
1-Nov-92, 13703991 
1-Dec-92, 13334385 
1-Jan-93, 13104284 
1-Feb-93, 12993802 
1-Mar-93, 13412363 
1-Apr-93, 14159317 
1-May-93, 16804762 
1-Jun-93, 19337327 
1-Jul-93, 19526472 
1-Aug-93, 19074333 
1-Sep-93, 18824804 
1-Oct-93, 18790311 
1-Nov-93, 18693737 
1-Dec-93, 18402435 
1-Jan-94, 18122129 
1-Feb-94, 17851241 
1-Mar-94, 17784914 
1-Apr-94, 17720033 
1-May-94, 18627816 
1-Jun-94, 19245283 
1-Jul-94, 18724121 
1-Aug-94, 18089882 
1-Sep-94, 17772167 
1-Oct-94, 17684480 
1-Nov-94, 17516298 
1-Dec-94, 17220702 
1-Jan-95, 16842725 
1-Feb-95, 16569855 
1-Mar-95, 16626838 
1-Apr-95, 16786431 
1-May-95, 18350285 
1-Jun-95, 21298870 
1-Jul-95, 23307302 
1-Aug-95, 22972229 
1-Sep-95, 22311240 
1-Oct-95, 21933068 
1-Nov-95, 21680640 
1-Dec-95, 21392359 
1-Jan-96, 20946632 
1-Feb-96, 20692796 
1-Mar-96, 20220090 
1-Apr-96, 20186442 
1-May-96, 21389430 
1-Jun-96, 22409548 
1-Jul-96, 22219242 
1-Aug-96, 21580303 
1-Sep-96, 21154837 
1-Oct-96, 20968236 
1-Nov-96, 20894802 
1-Dec-96, 20497895 
1-Jan-97, 19991015 
1-Feb-97, 19321047 
1-Mar-97, 18917909 
1-Apr-97, 19107890 
1-May-97, 21089613 
1-Jun-97, 23383798 
1-Jul-97, 23293257 
1-Aug-97, 22892093 
1-Sep-97, 22801446 
1-Oct-97, 22553819 
1-Nov-97, 22123055 
1-Dec-97, 21595052 
1-Jan-98, 21102625 
1-Feb-98, 20630028 
1-Mar-98, 20273472 
1-Apr-98, 20745648 
1-May-98, 22645310 
1-Jun-98, 23727909 
1-Jul-98, 23565606 
1-Aug-98, 22865953 
1-Sep-98, 22403483 
1-Oct-98, 22198187 
1-Nov-98, 22076560 
1-Dec-98, 21654053 
1-Jan-99, 21344131 
1-Feb-99, 21088164 
