year ,station_name,station_id,latitude,longitude,swe_average
1980,Apishapa,303,37.33067,-105.06766,0.3
1981,Apishapa,303,37.33067,-105.06766,0.4
1982,Apishapa,303,37.33067,-105.06766,1.8
1983,Apishapa,303,37.33067,-105.06766,3.6
1984,Apishapa,303,37.33067,-105.06766,4.8
1985,Apishapa,303,37.33067,-105.06766,2
1986,Apishapa,303,37.33067,-105.06766,0.6
1987,Apishapa,303,37.33067,-105.06766,3.6
1988,Apishapa,303,37.33067,-105.06766,1.7
1989,Apishapa,303,37.33067,-105.06766,1.8
1990,Apishapa,303,37.33067,-105.06766,1.4
1991,Apishapa,303,37.33067,-105.06766,2.4
1992,Apishapa,303,37.33067,-105.06766,2.4
1993,Apishapa,303,37.33067,-105.06766,4.4
1994,Apishapa,303,37.33067,-105.06766,2.2
1995,Apishapa,303,37.33067,-105.06766,1.8
1996,Apishapa,303,37.33067,-105.06766,1
1997,Apishapa,303,37.33067,-105.06766,1.3
1998,Apishapa,303,37.33067,-105.06766,3
1999,Apishapa,303,37.33067,-105.06766,1
2000,Apishapa,303,37.33067,-105.06766,1.9
2001,Apishapa,303,37.33067,-105.06766,1
2002,Apishapa,303,37.33067,-105.06766,0.8
2003,Apishapa,303,37.33067,-105.06766,1.2
2004,Apishapa,303,37.33067,-105.06766,1.4
2005,Apishapa,303,37.33067,-105.06766,3.9
2006,Apishapa,303,37.33067,-105.06766,0.3
2007,Apishapa,303,37.33067,-105.06766,2.8
2008,Apishapa,303,37.33067,-105.06766,3.6
2009,Apishapa,303,37.33067,-105.06766,2.4
2010,Apishapa,303,37.33067,-105.06766,2.2
2011,Apishapa,303,37.33067,-105.06766,1.2
2012,Apishapa,303,37.33067,-105.06766,1.8
2013,Apishapa,303,37.33067,-105.06766,1.2
2014,Apishapa,303,37.33067,-105.06766,0.6
2015,Apishapa,303,37.33067,-105.06766,0.7
2016,Apishapa,303,37.33067,-105.06766,1.4
2017,Apishapa,303,37.33067,-105.06766,2.7
2018,Apishapa,303,37.33067,-105.06766,0.5
2019,Apishapa,303,37.33067,-105.06766,3.2
2020,Apishapa,303,37.33067,-105.06766,1.4
2021,Apishapa,303,37.33067,-105.06766,1.8
2022,Apishapa,303,37.33067,-105.06766,1.4
2023,Apishapa,303,37.33067,-105.06766,0.8
2024,Apishapa,303,37.33067,-105.06766,1.9
2002,Arapaho Ridge,1030,40.35098,-106.38141,1.8
2003,Arapaho Ridge,1030,40.35098,-106.38141,7
2004,Arapaho Ridge,1030,40.35098,-106.38141,8.1
2005,Arapaho Ridge,1030,40.35098,-106.38141,9.6
2006,Arapaho Ridge,1030,40.35098,-106.38141,10
2007,Arapaho Ridge,1030,40.35098,-106.38141,7.4
2008,Arapaho Ridge,1030,40.35098,-106.38141,9.8
2009,Arapaho Ridge,1030,40.35098,-106.38141,8.3
2010,Arapaho Ridge,1030,40.35098,-106.38141,8
2011,Arapaho Ridge,1030,40.35098,-106.38141,14.1
2012,Arapaho Ridge,1030,40.35098,-106.38141,5.4
2013,Arapaho Ridge,1030,40.35098,-106.38141,7.8
2014,Arapaho Ridge,1030,40.35098,-106.38141,11
2015,Arapaho Ridge,1030,40.35098,-106.38141,7.5
2016,Arapaho Ridge,1030,40.35098,-106.38141,10.3
2017,Arapaho Ridge,1030,40.35098,-106.38141,10.8
2018,Arapaho Ridge,1030,40.35098,-106.38141,7.5
2019,Arapaho Ridge,1030,40.35098,-106.38141,11.3
2020,Arapaho Ridge,1030,40.35098,-106.38141,8.7
2021,Arapaho Ridge,1030,40.35098,-106.38141,7.5
2022,Arapaho Ridge,1030,40.35098,-106.38141,8.1
2023,Arapaho Ridge,1030,40.35098,-106.38141,9.7
2024,Arapaho Ridge,1030,40.35098,-106.38141,8.6
1980,Bear Lake,322,40.31176,-105.6467,1.7
1981,Bear Lake,322,40.31176,-105.6467,4.1
1982,Bear Lake,322,40.31176,-105.6467,6.7
1983,Bear Lake,322,40.31176,-105.6467,6
1984,Bear Lake,322,40.31176,-105.6467,7.6
1985,Bear Lake,322,40.31176,-105.6467,5.1
1986,Bear Lake,322,40.31176,-105.6467,10.6
1987,Bear Lake,322,40.31176,-105.6467,3.7
1988,Bear Lake,322,40.31176,-105.6467,5.5
1989,Bear Lake,322,40.31176,-105.6467,4.7
1990,Bear Lake,322,40.31176,-105.6467,6
1991,Bear Lake,322,40.31176,-105.6467,4.5
1992,Bear Lake,322,40.31176,-105.6467,4.4
1993,Bear Lake,322,40.31176,-105.6467,7.6
1994,Bear Lake,322,40.31176,-105.6467,5.7
1995,Bear Lake,322,40.31176,-105.6467,7.7
1996,Bear Lake,322,40.31176,-105.6467,9.7
1997,Bear Lake,322,40.31176,-105.6467,10.3
1998,Bear Lake,322,40.31176,-105.6467,5.4
1999,Bear Lake,322,40.31176,-105.6467,7.5
2000,Bear Lake,322,40.31176,-105.6467,6
2001,Bear Lake,322,40.31176,-105.6467,3.8
2002,Bear Lake,322,40.31176,-105.6467,3.2
2003,Bear Lake,322,40.31176,-105.6467,7.1
2004,Bear Lake,322,40.31176,-105.6467,5.1
2005,Bear Lake,322,40.31176,-105.6467,5.6
2006,Bear Lake,322,40.31176,-105.6467,6.5
2007,Bear Lake,322,40.31176,-105.6467,7.2
2008,Bear Lake,322,40.31176,-105.6467,6.2
2009,Bear Lake,322,40.31176,-105.6467,7.1
2010,Bear Lake,322,40.31176,-105.6467,5.2
2011,Bear Lake,322,40.31176,-105.6467,9.9
2012,Bear Lake,322,40.31176,-105.6467,4.2
2013,Bear Lake,322,40.31176,-105.6467,4.2
2014,Bear Lake,322,40.31176,-105.6467,8.7
2015,Bear Lake,322,40.31176,-105.6467,6
2016,Bear Lake,322,40.31176,-105.6467,6
2017,Bear Lake,322,40.31176,-105.6467,8.5
2018,Bear Lake,322,40.31176,-105.6467,4.2
2019,Bear Lake,322,40.31176,-105.6467,7.2
2020,Bear Lake,322,40.31176,-105.6467,6.6
2021,Bear Lake,322,40.31176,-105.6467,5.8
2022,Bear Lake,322,40.31176,-105.6467,6.2
2023,Bear Lake,322,40.31176,-105.6467,7.3
2024,Bear Lake,322,40.31176,-105.6467,6.6
2004,Bear River,1061,40.06152,-107.00948,0.7
2005,Bear River,1061,40.06152,-107.00948,3.3
2006,Bear River,1061,40.06152,-107.00948,4.5
2007,Bear River,1061,40.06152,-107.00948,3.6
2008,Bear River,1061,40.06152,-107.00948,3.8
2009,Bear River,1061,40.06152,-107.00948,3.7
2010,Bear River,1061,40.06152,-107.00948,3.4
2011,Bear River,1061,40.06152,-107.00948,5.8
2012,Bear River,1061,40.06152,-107.00948,2.3
2013,Bear River,1061,40.06152,-107.00948,3.4
2014,Bear River,1061,40.06152,-107.00948,4.4
2015,Bear River,1061,40.06152,-107.00948,3.6
2016,Bear River,1061,40.06152,-107.00948,3.9
2017,Bear River,1061,40.06152,-107.00948,3.7
2018,Bear River,1061,40.06152,-107.00948,3.6
2019,Bear River,1061,40.06152,-107.00948,4.9
2020,Bear River,1061,40.06152,-107.00948,4.2
2021,Bear River,1061,40.06152,-107.00948,3.1
2022,Bear River,1061,40.06152,-107.00948,3
2023,Bear River,1061,40.06152,-107.00948,4.2
2024,Bear River,1061,40.06152,-107.00948,3.7
1982,Beartown,327,37.71433,-107.5124,4.2
1983,Beartown,327,37.71433,-107.5124,10.9
1984,Beartown,327,37.71433,-107.5124,11.5
1985,Beartown,327,37.71433,-107.5124,15.1
1986,Beartown,327,37.71433,-107.5124,13.2
1987,Beartown,327,37.71433,-107.5124,11.9
1988,Beartown,327,37.71433,-107.5124,7.1
1989,Beartown,327,37.71433,-107.5124,8
1990,Beartown,327,37.71433,-107.5124,5.4
1991,Beartown,327,37.71433,-107.5124,8.3
1992,Beartown,327,37.71433,-107.5124,5.6
1993,Beartown,327,37.71433,-107.5124,11
1994,Beartown,327,37.71433,-107.5124,6.3
1995,Beartown,327,37.71433,-107.5124,13.3
1996,Beartown,327,37.71433,-107.5124,7.1
1997,Beartown,327,37.71433,-107.5124,15.9
1998,Beartown,327,37.71433,-107.5124,6.9
1999,Beartown,327,37.71433,-107.5124,7.6
2000,Beartown,327,37.71433,-107.5124,6.2
2001,Beartown,327,37.71433,-107.5124,9.3
2002,Beartown,327,37.71433,-107.5124,3.2
2003,Beartown,327,37.71433,-107.5124,5.2
2004,Beartown,327,37.71433,-107.5124,9.2
2005,Beartown,327,37.71433,-107.5124,13.6
2006,Beartown,327,37.71433,-107.5124,4.8
2007,Beartown,327,37.71433,-107.5124,5.5
2008,Beartown,327,37.71433,-107.5124,10.6
2009,Beartown,327,37.71433,-107.5124,7.8
2010,Beartown,327,37.71433,-107.5124,6.6
2011,Beartown,327,37.71433,-107.5124,9.6
2012,Beartown,327,37.71433,-107.5124,3.9
2013,Beartown,327,37.71433,-107.5124,5.2
2014,Beartown,327,37.71433,-107.5124,6.6
2015,Beartown,327,37.71433,-107.5124,4.6
2016,Beartown,327,37.71433,-107.5124,6.7
2017,Beartown,327,37.71433,-107.5124,8.9
2018,Beartown,327,37.71433,-107.5124,3.7
2019,Beartown,327,37.71433,-107.5124,12.6
2020,Beartown,327,37.71433,-107.5124,7.4
2021,Beartown,327,37.71433,-107.5124,6
2022,Beartown,327,37.71433,-107.5124,6.1
2023,Beartown,327,37.71433,-107.5124,9.3
2024,Beartown,327,37.71433,-107.5124,6.7
2003,Beaver Ck Village,1041,39.59871,-106.51113,0.4
2004,Beaver Ck Village,1041,39.59871,-106.51113,2.4
2005,Beaver Ck Village,1041,39.59871,-106.51113,3.5
2006,Beaver Ck Village,1041,39.59871,-106.51113,3.3
2007,Beaver Ck Village,1041,39.59871,-106.51113,2.6
2008,Beaver Ck Village,1041,39.59871,-106.51113,4.5
2009,Beaver Ck Village,1041,39.59871,-106.51113,4.8
2010,Beaver Ck Village,1041,39.59871,-106.51113,2.8
2011,Beaver Ck Village,1041,39.59871,-106.51113,4.6
2012,Beaver Ck Village,1041,39.59871,-106.51113,1.6
2013,Beaver Ck Village,1041,39.59871,-106.51113,2.9
2014,Beaver Ck Village,1041,39.59871,-106.51113,4.3
2015,Beaver Ck Village,1041,39.59871,-106.51113,2.9
2016,Beaver Ck Village,1041,39.59871,-106.51113,3.4
2017,Beaver Ck Village,1041,39.59871,-106.51113,3
2018,Beaver Ck Village,1041,39.59871,-106.51113,2
2019,Beaver Ck Village,1041,39.59871,-106.51113,4.1
2020,Beaver Ck Village,1041,39.59871,-106.51113,3.9
2021,Beaver Ck Village,1041,39.59871,-106.51113,2.1
2022,Beaver Ck Village,1041,39.59871,-106.51113,3.3
2023,Beaver Ck Village,1041,39.59871,-106.51113,4.7
2024,Beaver Ck Village,1041,39.59871,-106.51113,3.5
1980,Berthoud Summit,335,39.80364,-105.77786,9.2
1981,Berthoud Summit,335,39.80364,-105.77786,4.1
1982,Berthoud Summit,335,39.80364,-105.77786,9
1983,Berthoud Summit,335,39.80364,-105.77786,10.6
1984,Berthoud Summit,335,39.80364,-105.77786,11.6
1985,Berthoud Summit,335,39.80364,-105.77786,7.9
1986,Berthoud Summit,335,39.80364,-105.77786,8.8
1987,Berthoud Summit,335,39.80364,-105.77786,5.6
1988,Berthoud Summit,335,39.80364,-105.77786,8.4
1989,Berthoud Summit,335,39.80364,-105.77786,6.3
1990,Berthoud Summit,335,39.80364,-105.77786,5.1
1991,Berthoud Summit,335,39.80364,-105.77786,7.3
1992,Berthoud Summit,335,39.80364,-105.77786,6.8
1993,Berthoud Summit,335,39.80364,-105.77786,8.8
1994,Berthoud Summit,335,39.80364,-105.77786,5.9
1995,Berthoud Summit,335,39.80364,-105.77786,7.3
1996,Berthoud Summit,335,39.80364,-105.77786,9.9
1997,Berthoud Summit,335,39.80364,-105.77786,9.8
1998,Berthoud Summit,335,39.80364,-105.77786,6.8
1999,Berthoud Summit,335,39.80364,-105.77786,5.9
2000,Berthoud Summit,335,39.80364,-105.77786,5.5
2001,Berthoud Summit,335,39.80364,-105.77786,6.3
2002,Berthoud Summit,335,39.80364,-105.77786,3.5
2003,Berthoud Summit,335,39.80364,-105.77786,6.4
2004,Berthoud Summit,335,39.80364,-105.77786,5.2
2005,Berthoud Summit,335,39.80364,-105.77786,6.5
2006,Berthoud Summit,335,39.80364,-105.77786,7.8
2007,Berthoud Summit,335,39.80364,-105.77786,6.8
2008,Berthoud Summit,335,39.80364,-105.77786,8
2009,Berthoud Summit,335,39.80364,-105.77786,7.9
2010,Berthoud Summit,335,39.80364,-105.77786,7.4
2011,Berthoud Summit,335,39.80364,-105.77786,11.5
2012,Berthoud Summit,335,39.80364,-105.77786,3.2
2013,Berthoud Summit,335,39.80364,-105.77786,6.4
2014,Berthoud Summit,335,39.80364,-105.77786,9.6
2015,Berthoud Summit,335,39.80364,-105.77786,7.6
2016,Berthoud Summit,335,39.80364,-105.77786,8.2
2017,Berthoud Summit,335,39.80364,-105.77786,7
2018,Berthoud Summit,335,39.80364,-105.77786,5.1
2019,Berthoud Summit,335,39.80364,-105.77786,8.7
2020,Berthoud Summit,335,39.80364,-105.77786,8.2
2021,Berthoud Summit,335,39.80364,-105.77786,6.4
2022,Berthoud Summit,335,39.80364,-105.77786,6
2023,Berthoud Summit,335,39.80364,-105.77786,7.4
2024,Berthoud Summit,335,39.80364,-105.77786,8.3
1985,Bison Lake,345,39.76458,-107.35628,9
1986,Bison Lake,345,39.76458,-107.35628,22.6
1987,Bison Lake,345,39.76458,-107.35628,9.5
1988,Bison Lake,345,39.76458,-107.35628,9.7
1989,Bison Lake,345,39.76458,-107.35628,10.7
1990,Bison Lake,345,39.76458,-107.35628,8.8
1991,Bison Lake,345,39.76458,-107.35628,13.2
1992,Bison Lake,345,39.76458,-107.35628,7.1
1993,Bison Lake,345,39.76458,-107.35628,15.6
1994,Bison Lake,345,39.76458,-107.35628,9.2
1995,Bison Lake,345,39.76458,-107.35628,13.1
1996,Bison Lake,345,39.76458,-107.35628,13.1
1997,Bison Lake,345,39.76458,-107.35628,15.5
1998,Bison Lake,345,39.76458,-107.35628,10.6
1999,Bison Lake,345,39.76458,-107.35628,9.1
2000,Bison Lake,345,39.76458,-107.35628,7.3
2001,Bison Lake,345,39.76458,-107.35628,8.6
2002,Bison Lake,345,39.76458,-107.35628,6.1
2003,Bison Lake,345,39.76458,-107.35628,9.2
2004,Bison Lake,345,39.76458,-107.35628,10.7
2005,Bison Lake,345,39.76458,-107.35628,13.2
2006,Bison Lake,345,39.76458,-107.35628,11.8
2007,Bison Lake,345,39.76458,-107.35628,8
2008,Bison Lake,345,39.76458,-107.35628,13.7
2009,Bison Lake,345,39.76458,-107.35628,12
2010,Bison Lake,345,39.76458,-107.35628,10.5
2011,Bison Lake,345,39.76458,-107.35628,19
2012,Bison Lake,345,39.76458,-107.35628,6.7
2013,Bison Lake,345,39.76458,-107.35628,8.4
2014,Bison Lake,345,39.76458,-107.35628,10.1
2015,Bison Lake,345,39.76458,-107.35628,7.8
2016,Bison Lake,345,39.76458,-107.35628,9.4
2017,Bison Lake,345,39.76458,-107.35628,12.3
2018,Bison Lake,345,39.76458,-107.35628,7
2019,Bison Lake,345,39.76458,-107.35628,14.7
2020,Bison Lake,345,39.76458,-107.35628,8
2021,Bison Lake,345,39.76458,-107.35628,7.8
2022,Bison Lake,345,39.76458,-107.35628,8.9
2023,Bison Lake,345,39.76458,-107.35628,16.4
2024,Bison Lake,345,39.76458,-107.35628,9.1
2012,Black Mesa,1185,37.78968,-108.18376,0.6
2013,Black Mesa,1185,37.78968,-108.18376,7.3
2014,Black Mesa,1185,37.78968,-108.18376,8.8
2015,Black Mesa,1185,37.78968,-108.18376,8.5
2016,Black Mesa,1185,37.78968,-108.18376,11
2017,Black Mesa,1185,37.78968,-108.18376,13.8
2018,Black Mesa,1185,37.78968,-108.18376,3.9
2019,Black Mesa,1185,37.78968,-108.18376,14.6
2020,Black Mesa,1185,37.78968,-108.18376,6.7
2021,Black Mesa,1185,37.78968,-108.18376,6.6
2022,Black Mesa,1185,37.78968,-108.18376,8.8
2023,Black Mesa,1185,37.78968,-108.18376,14
2024,Black Mesa,1185,37.78968,-108.18376,7.5
2010,Black Mountain,1161,40.8879,-105.66404,1.2
2011,Black Mountain,1161,40.8879,-105.66404,4.4
2012,Black Mountain,1161,40.8879,-105.66404,2.7
2013,Black Mountain,1161,40.8879,-105.66404,3.1
2014,Black Mountain,1161,40.8879,-105.66404,4
2015,Black Mountain,1161,40.8879,-105.66404,3.4
2016,Black Mountain,1161,40.8879,-105.66404,4.5
2017,Black Mountain,1161,40.8879,-105.66404,3.7
2018,Black Mountain,1161,40.8879,-105.66404,3.1
2019,Black Mountain,1161,40.8879,-105.66404,3.7
2020,Black Mountain,1161,40.8879,-105.66404,3.6
2021,Black Mountain,1161,40.8879,-105.66404,3.5
2022,Black Mountain,1161,40.8879,-105.66404,3.5
2023,Black Mountain,1161,40.8879,-105.66404,3.6
2024,Black Mountain,1161,40.8879,-105.66404,3.4
1980,Brumley,369,39.08758,-106.54231,0.2
1981,Brumley,369,39.08758,-106.54231,1.2
1982,Brumley,369,39.08758,-106.54231,4.2
1983,Brumley,369,39.08758,-106.54231,3
1984,Brumley,369,39.08758,-106.54231,6.2
1985,Brumley,369,39.08758,-106.54231,3.6
1986,Brumley,369,39.08758,-106.54231,3.5
1987,Brumley,369,39.08758,-106.54231,2.4
